Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
P9WQI3	SUGC_MYCTU	reviewed	Trehalose import ATP-binding protein SugC (EC 7.5.2.-)	sugC Rv1238	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	393	Rv1238		sugC		4 out of 5	biological process involved in interaction with host [GO:0051701]; pathogenesis [GO:0009405]; trehalose transport [GO:0015771]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0009405; GO:0015771; GO:0042626; GO:0051701; GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; biological process involved in interaction with host [GO:0051701]; pathogenesis [GO:0009405]; trehalose transport [GO:0015771]	AL123456;			NP_215754.1;WP_003406299.1;
P9WFV3	SYI_MYCTU	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS Rv1536 MTCY48.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1041	Rv1536	MTCY48.29c	ileS		4 out of 5	isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	cell wall [GO:0005618]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005618; GO:0005737; GO:0005886; GO:0006428; GO:0008270; GO:0046677	cell wall [GO:0005618]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	AL123456;			NP_216052.1;WP_003407714.1;
P9WHV5	PPX1_MYCTU	reviewed	Exopolyphosphatase 1 (ExopolyPase 1) (EC 3.6.1.11) (MTB-PPX1)	ppx1 Rv0496 MTCY20G9.22	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344	Rv0496	MTCY20G9.22	ppx1		4 out of 5	phosphorus metabolic process [GO:0006793]		exopolyphosphatase activity [GO:0004309]; pyrophosphatase activity [GO:0016462]	GO:0004309; GO:0006793; GO:0016462	exopolyphosphatase activity [GO:0004309]; pyrophosphatase activity [GO:0016462]; phosphorus metabolic process [GO:0006793]	AL123456;EU045359;			NP_215010.3;WP_003402419.1;
P96374	PPX2_MYCTU	reviewed	Exopolyphosphatase 2 (ExopolyPase 2) (EC 3.6.1.11)	ppx2 Rv1026 LH57_05600	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	319	Rv1026	LH57_05600	ppx2		3 out of 5	phosphorus metabolic process [GO:0006793]	plasma membrane [GO:0005886]	exopolyphosphatase activity [GO:0004309]; pyrophosphatase activity [GO:0016462]	GO:0004309; GO:0005886; GO:0006793; GO:0016462	plasma membrane [GO:0005886]; exopolyphosphatase activity [GO:0004309]; pyrophosphatase activity [GO:0016462]; phosphorus metabolic process [GO:0006793]	CP009480;AL123456;			NP_215542.1;WP_003405299.1;
P9WKD5	PURNU_MYCTU	reviewed	Purine nucleoside phosphorylase Rv2149c (EC 2.4.2.1) (Adenosine deaminase Rv2149c) (EC 3.5.4.4) (S-methyl-5'-thioadenosine phosphorylase Rv2149c) (EC 2.4.2.28)	Rv2149c MTCY270.19	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	250	Rv2149c	MTCY270.19			3 out of 5		cell wall [GO:0005618]	adenosine deaminase activity [GO:0004000]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	GO:0004000; GO:0005507; GO:0005618; GO:0016491; GO:0017061	cell wall [GO:0005618]; adenosine deaminase activity [GO:0004000]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	AL123456;			NP_216665.1;WP_003411140.1;
P95257	SECBL_MYCTU	reviewed	SecB-like chaperone Rv1957	secBL Rv1957	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	181	Rv1957		secBL		3 out of 5		cell wall [GO:0005618]		GO:0005618	cell wall [GO:0005618]	AL123456;			NP_216473.1;WP_003409891.1;
P9WGE7	SODF_MYCTU	reviewed	Superoxide dismutase [Fe] (EC 1.15.1.1)	sodB sod sodA Rv3846 MTCY01A6.22c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	207	Rv3846	MTCY01A6.22c	sodB	sod sodA	5 out of 5	pathogenesis [GO:0009405]; response to oxidative stress [GO:0006979]; symbiont defense to host-produced reactive oxygen species [GO:0052164]	cytosol [GO:0005829]; extracellular region [GO:0005576]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]	iron ion binding [GO:0005506]; manganese ion binding [GO:0030145]; superoxide dismutase activity [GO:0004784]	GO:0004784; GO:0005506; GO:0005576; GO:0005829; GO:0005886; GO:0006979; GO:0009405; GO:0030145; GO:0042597; GO:0052164	cytosol [GO:0005829]; extracellular region [GO:0005576]; periplasmic space [GO:0042597]; plasma membrane [GO:0005886]; iron ion binding [GO:0005506]; manganese ion binding [GO:0030145]; superoxide dismutase activity [GO:0004784]; pathogenesis [GO:0009405]; response to oxidative stress [GO:0006979]; symbiont defense to host-produced reactive oxygen species [GO:0052164]	X52861;AF061030;AL123456;			NP_218363.1;WP_003399735.1;
Q79G04	PE03_MYCTU	reviewed	PE family protein PE3	PE3 Rv0159c LH57_00895	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	468	Rv0159c	LH57_00895	PE3		3 out of 5	pathogenesis [GO:0009405]	cell wall [GO:0005618]; extracellular region [GO:0005576]		GO:0005576; GO:0005618; GO:0009405	cell wall [GO:0005618]; extracellular region [GO:0005576]; pathogenesis [GO:0009405]	AL123456;CP009480;			WP_003911094.1;YP_177697.1;
P9WGU1	PSTS1_MYCTU	reviewed	Phosphate-binding protein PstS 1 (PBP 1) (PhoS1) (PstS-1) (38-kDa glycolipoprotein) (38-kDa lipoprotein) (P38) (Antigen Ag78) (Protein antigen B) (Pab)	pstS1 phoS1 Rv0934 MTCY08D9.05c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	374	Rv0934	MTCY08D9.05c	pstS1	phoS1	5 out of 5	cell adhesion [GO:0007155]; cellular response to phosphate starvation [GO:0016036]; modulation by symbiont of host defense response [GO:0052031]; pathogenesis [GO:0009405]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell surface [GO:0009986]; cell wall [GO:0005618]; cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	phosphate ion binding [GO:0042301]	GO:0005576; GO:0005618; GO:0005829; GO:0005886; GO:0006817; GO:0007155; GO:0009405; GO:0009986; GO:0016036; GO:0035435; GO:0042301; GO:0043190; GO:0052031	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell surface [GO:0009986]; cell wall [GO:0005618]; cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; phosphate ion binding [GO:0042301]; cell adhesion [GO:0007155]; cellular response to phosphate starvation [GO:0016036]; modulation by symbiont of host defense response [GO:0052031]; pathogenesis [GO:0009405]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]	M30046;AL123456;			WP_003900236.1;YP_177770.1;
P96202	PPSC_MYCTU	reviewed	Phenolphthiocerol/phthiocerol polyketide synthase subunit C (EC 2.3.1.292) ((Phenol)carboxyphthiodiolenone synthase subunit C) (Beta-ketoacyl-acyl-carrier-protein synthase I) (Phthiocerol synthesis polyketide synthase type I PpsC)	ppsC Rv2933	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2188	Rv2933		ppsC		5 out of 5	Actinobacterium-type cell wall biogenesis [GO:0071766]; DIM/DIP cell wall layer assembly [GO:0071770]; fatty acid biosynthetic process [GO:0006633]; phenolic phthiocerol biosynthetic process [GO:0097041]; phthiocerol biosynthetic process [GO:0097040]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; polyketide synthase complex [GO:0034081]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]	GO:0004315; GO:0005829; GO:0005886; GO:0006633; GO:0016491; GO:0031177; GO:0034081; GO:0071766; GO:0071770; GO:0097040; GO:0097041	cytosol [GO:0005829]; plasma membrane [GO:0005886]; polyketide synthase complex [GO:0034081]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; Actinobacterium-type cell wall biogenesis [GO:0071766]; DIM/DIP cell wall layer assembly [GO:0071770]; fatty acid biosynthetic process [GO:0006633]; phenolic phthiocerol biosynthetic process [GO:0097041]; phthiocerol biosynthetic process [GO:0097040]	AL123456;			NP_217449.1;WP_003414837.1;
P9WG07	PSTC1_MYCTU	reviewed	Phosphate transport system permease protein PstC 1	pstC1 pstC Rv0935 MTCY08D9.04c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	338	Rv0935	MTCY08D9.04c	pstC1	pstC	2 out of 5	phosphate ion transport [GO:0006817]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	inorganic phosphate transmembrane transporter activity [GO:0005315]	GO:0005315; GO:0005886; GO:0006817; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transport [GO:0006817]	Z47982;AL123456;			WP_003404792.1;YP_177771.1;
P9WHN7	PTH_MYCTU	reviewed	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth Rv1014c MTCY10G2.35	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	191	Rv1014c	MTCY10G2.35	pth		2 out of 5	translation [GO:0006412]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	aminoacyl-tRNA hydrolase activity [GO:0004045]	GO:0004045; GO:0005737; GO:0005886; GO:0006412	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; aminoacyl-tRNA hydrolase activity [GO:0004045]; translation [GO:0006412]	AL123456;			NP_215530.1;WP_003405251.1;
P9WH73	RIR2A_MYCTU	reviewed	Ribonucleoside-diphosphate reductase subunit beta nrdF1 (EC 1.17.4.1) (Ribonucleotide reductase R2-1 small subunit) (Ribonucleotide reductase small subunit 1)	nrdF1 Rv1981c MTCY39.38	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	322	Rv1981c	MTCY39.38	nrdF1		3 out of 5	deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]	ribonucleoside-diphosphate reductase complex [GO:0005971]	metal ion binding [GO:0046872]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	GO:0004748; GO:0005971; GO:0006260; GO:0009263; GO:0046872	ribonucleoside-diphosphate reductase complex [GO:0005971]; metal ion binding [GO:0046872]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]	U41099;AL123456;			WP_003899116.1;YP_177853.1;
I6YG32	RIMI_MYCTU	reviewed	N-alpha-acetyltransferase RimI (EC 2.3.1.255) (EC 2.3.1.258)	rimI Rv3420c LH57_18670	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	158	Rv3420c LH57_18670		rimI		5 out of 5	mycothiol biosynthetic process [GO:0010125]; N-terminal peptidyl-alanine acetylation [GO:0017189]; N-terminal protein amino acid acetylation [GO:0006474]		mycothiol synthase activity [GO:0035447]; peptide alpha-N-acetyltransferase activity [GO:0004596]; ribosomal-protein-alanine N-acetyltransferase activity [GO:0008999]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0004596; GO:0006474; GO:0008999; GO:0010125; GO:0016747; GO:0017189; GO:0035447	mycothiol synthase activity [GO:0035447]; peptide alpha-N-acetyltransferase activity [GO:0004596]; ribosomal-protein-alanine N-acetyltransferase activity [GO:0008999]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; mycothiol biosynthetic process [GO:0010125]; N-terminal peptidyl-alanine acetylation [GO:0017189]; N-terminal protein amino acid acetylation [GO:0006474]	AL123456;CP009480;			NP_217937.1;WP_003418034.1;
P9WF25	RELJ_MYCTU	reviewed	Antitoxin RelJ (Antitoxin YefM)	relJ relB3 yefM Rv3357 MTV004.14	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	91	Rv3357	MTV004.14	relJ	relB3 yefM	4 out of 5	regulation of transcription, DNA-templated [GO:0006355]		DNA binding [GO:0003677]	GO:0003677; GO:0006355	DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	AL123456;			NP_217874.1;WP_003417757.1;
P9WK35	RISA_MYCTU	reviewed	Riboflavin synthase (RS) (EC 2.5.1.9)	ribE ribC Rv1412 MTCY21B4.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	201	Rv1412	MTCY21B4.29	ribE	ribC	3 out of 5	riboflavin biosynthetic process [GO:0009231]		riboflavin synthase activity [GO:0004746]	GO:0004746; GO:0009231	riboflavin synthase activity [GO:0004746]; riboflavin biosynthetic process [GO:0009231]	AL123456;			NP_215928.1;WP_003407318.1;
P9WGZ7	RNPH_MYCTU	reviewed	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph rphA Rv1340 MTCY02B10.04 MTCY130.25	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	259	Rv1340	MTCY02B10.04 MTCY130.25	rph	rphA	3 out of 5	rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	plasma membrane [GO:0005886]	3'-5'-exoribonuclease activity [GO:0000175]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]	GO:0000049; GO:0000175; GO:0005886; GO:0006364; GO:0008033; GO:0009022; GO:0016075	plasma membrane [GO:0005886]; 3'-5'-exoribonuclease activity [GO:0000175]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	AL123456;			NP_215856.1;WP_003406926.1;
P9WH03	RNC_MYCTU	reviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc Rv2925c MTCY338.14c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	240	Rv2925c	MTCY338.14c	rnc		4 out of 5	mRNA processing [GO:0006397]; RNA processing [GO:0006396]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]	double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]	GO:0003725; GO:0004525; GO:0005737; GO:0006364; GO:0006396; GO:0006397; GO:0008033; GO:0016075; GO:0046872	cytoplasm [GO:0005737]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; mRNA processing [GO:0006397]; RNA processing [GO:0006396]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	AL123456;			NP_217441.1;WP_003414820.1;
P9WGJ5	SEPF_MYCTU	reviewed	Cell division protein SepF	sepF Rv2147c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	218	Rv2147c		sepF		2 out of 5	division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]		GO:0000917; GO:0005737; GO:0005886; GO:0043093	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]	AL123456;			NP_216663.1;WP_003411133.1;
P9WIE9	PG44_MYCTU	reviewed	Uncharacterized PE-PGRS family protein PE_PGRS44	PE_PGRS44 Rv2591 MTCY227.10c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	543	Rv2591	MTCY227.10c	PE_PGRS44		1 out of 5						AL123456;			WP_010886152.1;YP_177891.1;
Q79FR3	PE13_MYCTU	reviewed	PE family protein PE13	PE13 Rv1195 LH57_06555	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	99	Rv1195	LH57_06555	PE13		2 out of 5	pathogenesis [GO:0009405]	cell wall [GO:0005618]; extracellular region [GO:0005576]		GO:0005576; GO:0005618; GO:0009405	cell wall [GO:0005618]; extracellular region [GO:0005576]; pathogenesis [GO:0009405]	AL123456;CP009480;			WP_003406222.1;YP_177794.1;
P9WI57	PNP_MYCTU	reviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp Rv2783c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	752	Rv2783c		pnp		3 out of 5	mRNA catabolic process [GO:0006402]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]	cell wall [GO:0005618]; cytosol [GO:0005829]; plasma membrane [GO:0005886]	3'-5'-exoribonuclease activity [GO:0000175]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]	GO:0000175; GO:0000287; GO:0003723; GO:0004654; GO:0005618; GO:0005829; GO:0005886; GO:0006396; GO:0006401; GO:0006402	cell wall [GO:0005618]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; 3'-5'-exoribonuclease activity [GO:0000175]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396]	AL123456;			NP_217299.1;WP_003414124.1;
