uniprot_id	protein	gene	refseq	wt_tpm.txt
B8H1L5	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	ccmE	WP_010920602.1;YP_002518222.1;	133.378
B8GX14	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	WP_010919827.1;YP_002517412.1;	504.653
B8H2S2	Imidazolonepropionase (EC 3.5.2.7) (Imidazolone-5-propionate hydrolase)	hutI	WP_010918844.1;YP_002516384.1;	98.706
B8H2S1	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	hutH	WP_012640105.1;YP_002516383.1;	127.38
B8H364	Flagellar FliJ protein	fliJ	WP_010920877.1;YP_002518509.1;	299.903
B8GVE1	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD	WP_010919449.1;YP_002517019.1;	127.476
B8H4W6	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB	WP_010921193.1;YP_002518848.1;	164.303
B8H1V7	Transcription elongation factor GreA (Transcript cleavage factor GreA)	greA	WP_010920688.1;YP_002518314.1;	929.944
B8H546	Integration host factor subunit alpha (IHF-alpha)	ihfA	WP_010919247.1;YP_002516806.1;	873.12
B8H6A5	Integration host factor subunit beta (IHF-beta)	ihfB	WP_010921415.1;YP_002519074.1;	525.019
B8H6A4	Large-conductance mechanosensitive channel	mscL	WP_010921414.1;YP_002519073.1;	438.868
B8GW33	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG	WP_024266007.1;YP_002519244.2;	128.636
B8H2R9	Urocanate hydratase (Urocanase) (EC 4.2.1.49) (Imidazolonepropionate hydrolase)	hutU	WP_010918841.1;YP_002516381.1;	155.306
B8GXA8	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk	WP_010919917.1;YP_002517506.1;	724.278
B8GW34	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE	YP_002519245.3;	120.717
B8H533	Transcriptional repressor NrdR	nrdR	WP_010919235.1;YP_002516793.1;	305.303
B8GXP3	Heat-inducible transcription repressor HrcA	hrcA	WP_012639892.1;YP_002515527.1;	99.7841
B8H6A7	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk	WP_010921417.1;YP_002519076.1;	65.6723
B8GWV5	NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	nuoB	WP_012640371.1;YP_002517405.1;	1216.81
B8GW27	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS	WP_010921576.1;YP_002519238.1;	252.245
B8GYD9	Nucleoid-associated protein CCNA_00269		WP_012639925.1;YP_002515644.1;	1175.99
B8GYE0	Recombination protein RecR	recR	WP_012639926.1;YP_002515645.1;	365.71
B8GYW7	DNA gyrase inhibitor YacG	yacG	WP_010920199.1;YP_002517798.1;	98.1324
B8GX17	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig	YP_002517415.1;	1898.09
B8H209	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	ubiG	WP_010918725.1;YP_002516256.1;	57.4356
B8GX16	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	YP_002517414.1;	2085.21
B8H358	Cell cycle transcriptional regulator CtrA (Response regulator SokA)	ctrA	WP_010920871.1;YP_002518503.1;	926.903
A0A0H3CAT5	Transposase (Transposase, HTH-Tnp1 superfamily)		WP_010918402.1;YP_002515921.1;YP_002517747.1;YP_002518144.1;YP_002518200.1;	116.277
A0A0H3CAW4	Uncharacterized protein		WP_010920617.1;YP_002518237.1;	2.81204
A0A0H3CA46	Uncharacterized protein		WP_012640577.1;YP_002518214.1;	29.0393
A0A0H3CC06	Uncharacterized protein		WP_010920182.1;YP_002517781.1;	86.0664
A0A0H3CC18	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)		WP_010920192.1;YP_002517791.1;	7.82549
A0A0H3C8E7	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)		WP_010918847.1;YP_002516387.2;	48.9662
A0A0H3CAE3	DNA-binding protein HU		WP_010920190.1;YP_002517789.1;	4026.12
A0A0H3C6E1	Membrane fusion protein (MFP) family protein	rsaE	WP_010918893.1;YP_002516434.1;	324.177
A0A0H3CA10	Acetyltransferase family protein		WP_010919485.1;YP_002517056.2;	80.6484
A0A0H3C7Q7	LacI-family transcriptional regulator		WP_010919363.1;YP_002516929.1;	251.051
A0A0H3C7B0	ROS/MUCR transcriptional regulator		WP_024265704.1;YP_002516791.2;	480.284
A0A0H3CDJ3	ArsR-family transcriptional regulator		WP_024265860.1;YP_002518330.2;	19.2326
A0A0H3C878	Flagellar hook protein FlgE	flgE	WP_010918786.1;YP_002516320.1;	239.511
A0A0H3CA40	Spx/MgsR-related protein (EC 1.20.4.1)		WP_024265729.1;YP_002517087.2;	339.814
A0A0H3C6H8	Uncharacterized protein		WP_024265705.1;YP_002516797.2;	117.635
A0A0H3CEH4	Pirin		WP_010921014.1;YP_002518654.1;	31.9962
A0A0H3CAP3	Uncharacterized protein		WP_012640560.1;YP_002518148.1;	580.133
A0A0H3CBM7	Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-)	msrP	WP_010920589.1;YP_002518207.1;	23.4042
A0A0H3C7L0	AraC-family transcriptional regulator		WP_012640330.1;YP_002517231.1;	106.054
A0A0H3C699	Copper resistance protein B		WP_010918849.1;YP_002516389.1;	40.5082
A0A0H3C7Q2	Uncharacterized protein		WP_010919358.1;YP_002516924.1;	39.5187
A0A0H3C5Y8	Excisionase		WP_012639978.1;YP_002515850.1;	13.1758
A0A0H3C8W8	TonB-dependent maltose outer membrane transporter malA	malA	WP_010920148.1;YP_002517743.1;	175.077
A0A0H3C8C2	General stress protein 17O		WP_010918821.1;YP_002516359.1;	39.5931
A0A0H3CCR4	Uncharacterized protein		WP_012640691.1;YP_002518658.1;	107.888
A0A0H3CF07	Zinc-dependent metalloprotease, MMP subfamily 2		WP_010921186.1;YP_002518840.1;	36.7506
A0A0H3CAK3	Hydrolase, nudix family		WP_010920181.1;YP_002517780.1;	42.6017
A0A0H3C803	Hemimethylated DNA-binding protein yccV		WP_010919487.1;YP_002517058.1;	267.703
A0A0H3CD99	Uncharacterized protein		WP_010920609.1;YP_002518229.1;	39.9005
A0A0H3CD67	TadG-family protein		WP_010920578.1;YP_002518193.1;	47.294
A0A0H3CDD5	Thiamine monophosphate synthase TenI		WP_024266003.1;YP_002519235.2;	90.183
A0A0H3C4K7	Uncharacterized protein		WP_024265502.1;YP_002515522.2;	0.0
A0A0H3C966	Aspartyl protease perP	perP	WP_010919184.1;YP_002516738.1;	144.608
A0A0H3C5G7	Serine kinase/phosphatase HprK (EC 2.7.1.-)	hprK	WP_010918128.1;YP_002515614.1;	34.6435
A0A0H3CCW5	30S ribosomal protein S1		WP_015923317.1;YP_002519075.1;	2460.56
A0A0H3CAE9	TonB accessory protein exbB	exbB	WP_010920195.1;YP_002517794.1;	4277.62
A0A0H3CBU1	Outer membrane protein A		WP_010920685.1;YP_002518311.1;	44.6943
A0A0H3CA36	Uncharacterized protein		WP_010919510.1;YP_002517082.1;	20.5925
A0A0H3C3G2	Probable membrane transporter protein		WP_024265536.1;YP_002515751.2;	51.0023
A0A0H3CBN7	Antitoxin protein parD3	parD3	WP_012640578.1;YP_002518217.1;	930.101
A0A0H3CBP7	PepSY peptidase propeptide domain protein		WP_010920608.1;YP_002518228.1;	626.015
A0A0H3C9K5	FlhB-like flagellar protein		WP_010919773.1;YP_002517357.1;	62.8631
A0A0H3C2N9	Acyl-CoA dehydrogenase, long-chain specific (EC 1.3.8.8)		WP_010917968.1;YP_002515452.1;	51.0171
A0A0H3CB21	Uncharacterized protein		WP_010920691.1;YP_002518317.1;	197.785
A0A0H3C827	MecR antirepressor / ankyrin repeat family protein		WP_010919512.1;YP_002517084.1;	23.7246
A0A0H3C6X2	PAS-family motility and cell cycle regulatory protein MopJ	mopJ	WP_024265646.1;YP_002516372.2;	43.8615
A0A0H3C593	Uncharacterized protein		WP_024265647.1;YP_002516380.2;	16.6914
A0A0H3CCW8	Lrp-family transcriptional regulator		WP_024265921.1;YP_002518653.2;	532.445
A0A0H3C6E0	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)		WP_010918669.1;YP_002516198.1;	10.5273
A0A0H3CAD8	Soluble lytic transglycosylase PleA	pleA	WP_012640469.1;YP_002517784.1;	64.2409
A0A0H3C507	CtrA inhibitory protein SciP	sciP	WP_010918787.1;YP_002516321.2;	8051.19
A0A0H3C6Z9	ABC-type transport system involved in lipoprotein release, permease component LolE	lolE	WP_010918815.1;YP_002516353.1;	17.0623
A0A0H3CAT8	Microsomal dipeptidase (EC 3.4.13.19)		WP_012640575.1;YP_002518205.1;	63.3776
A0A0H3CBN0	DnaJ-class molecular chaperone		WP_012640580.1;YP_002518233.1;	226.869
A0A0H3CC94	Peptidase, M16 family (EC 3.4.11.-)		WP_010921413.1;YP_002519072.1;	96.8743
A0A0H3CBW8	SpsF-related cytidylyltransferase		WP_010920693.1;YP_002518319.1;	13.9408
A0A0H3C9C9	Uncharacterized protein		WP_024265706.1;YP_002516808.2;	152.605
A0A0H3C339	Uncharacterized protein		WP_010918125.1;YP_002515611.1;	96.93
A0A0H3C8D4	Transporter, major facilitator superfamily		WP_010919355.1;YP_002516921.1;	62.3345
A0A0H3C8J2	RimI-like acetyltransferase		WP_010919483.1;YP_002517054.1;	145.526
A0A0H3CBW9	Alpha-amylase (EC 3.2.1.1)		WP_024265787.1;YP_002517742.2;	82.0792
A0A0H3C9L1	Glucan 1,4-beta-glucosidase (EC 3.2.1.74)	celD	WP_010919915.1;YP_002517504.1;	34.0692
A0A0H3CCP0	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)		WP_010921572.1;YP_002519234.1;	110.641
A0A0H3CC12	Acyl-CoA dehydrogenase (EC 1.3.99.-)		WP_010920187.1;YP_002517786.1;	129.107
A0A0H3CBH6	M23 family peptidoglycan-specific endopeptidase LdpD	ldpD	WP_010920870.1;YP_002518502.1;	202.049
A0A0H3C8S4	DUF2147 domain-containing protein		WP_010919509.1;YP_002517081.1;	118.157
A0A0H3C8Z2	Iron-regulated membrane protein		WP_010919650.1;YP_002517233.1;	47.0238
A0A0H3CBN2	Uncharacterized protein		WP_012640582.1;YP_002518238.1;	4.65353
A0A0H3C4K9	Aspartate aminotransferase (EC 2.6.1.1)		WP_010918624.1;YP_002516148.1;	25.23
A0A0H3C6X7	Flagellar basal body rod protein FlgB	flgB	WP_012640104.1;YP_002516377.1;	166.346
A0A0H3C9X4	Beta-lactamase family protein		WP_010919442.1;YP_002517012.1;	17.0561
A0A0H3C403	Cupin superfamily protein		WP_012639995.1;YP_002515925.1;	60.8796
A0A0H3C633	LacI-family transcriptional regulator		WP_010918404.1;YP_002515923.1;	17.4731
A0A0H3C6B5	PTS system, IIA component (EC 2.7.1.191)		WP_012639920.1;YP_002515615.1;	559.382
A0A0H3C8M1	Gluconate 2-dehydrogenase subunit 3-family protein		WP_010919508.1;YP_002517080.1;	18.1422
A0A0H3CA61	Uncharacterized protein		WP_012640448.1;YP_002517703.1;	165.935
A0A0H3CD29	Methyl-accepting chemotaxis protein		WP_010920537.1;YP_002518146.1;	28.9986
A0A0H3C6W1	Phosphinothricin N-acetyltransferase (EC 2.3.1.-)		WP_012640097.1;YP_002516357.1;	171.651
A0A0H3CAH1	Alpha-glucosidase (EC 3.2.1.20)		WP_012640457.1;YP_002517741.1;	67.0923
A0A0H3C9N2	Uncharacterized protein		WP_010919819.1;YP_002517403.1;	838.886
A0A0H3C6Y3	Uncharacterized protein		WP_012639979.1;YP_002515851.1;	41.3479
A0A0H3C465	DNA recombination protein RmuC homolog		WP_010918160.1;YP_002515647.1;	87.6827
A0A0H3C883	Flagellar assembly protein FlbE/FliH	flbE	WP_010918791.1;YP_002516325.1;	30.7491
A0A0H3C988	Histidine kinase (EC 2.7.13.3)		WP_010919636.1;YP_002517219.1;	65.9764
A0A0H3C461	AMP nucleosidase (EC 3.2.2.4)	amn	WP_010918153.1;YP_002515640.1;	429.326
A0A0H3CBW7	Non-specific DNA-binding protein Dps/iron-binding ferritin-like antioxidant protein/ferroxidase (EC 1.16.3.1)		WP_024265864.1;YP_002518339.2;	140.9
A0A0H3CAA3	Uncharacterized protein		WP_010920150.1;YP_002517745.1;	0.0
A0A0H3C777	Helix-turn-helix transcriptional regulator		WP_010918890.1;YP_002516431.1;	168.057
A0A0H3C722	Uncharacterized protein		WP_010918889.1;YP_002516430.1;	204.6
A0A0H3C637	Nitrogen regulatory protein P-II	glnC	WP_010918409.1;YP_002515928.1;	377.212
A0A0H3CA99	CelR-family transcriptional regulator		WP_010920145.1;YP_002517740.1;	86.5011
A0A0H3C743	Flagellar basal-body rod protein FlgC	flgC	WP_010918838.1;YP_002516378.1;	171.078
A0A0H3C5W4	Uncharacterized protein		WP_010917967.1;YP_002515451.1;	67.5247
A0A0H3C6Y1	N-formimino-L-glutamate deiminase (EC 3.5.3.13)		WP_010918845.1;YP_002516385.4;	123.487
A0A0H3CDU1	PiuB-related membrane protein (EC 1.8.1.2)		WP_010921330.1;YP_002518989.1;	313.52
A0A0H3CE94	Uncharacterized protein		WP_024266004.1;YP_002519236.2;	1886.18
A0A0H3C8B5	DNA integration/recombination/inversion protein		WP_010919634.1;YP_002517217.1;	16.1935
A0A0H3C9M7	Tryptophan halogenase superfamily protein		WP_010920149.1;YP_002517744.2;	31.6625
A0A0H3CBJ6	Uncharacterized protein		WP_012640572.1;YP_002518196.1;	0.0
A0A0H3C3U2	Helix-turn-helix DNA-binding protein		WP_012639980.1;YP_002515852.1;	23.5731
A0A0H3CBU6	Histidine kinase (EC 2.7.13.3)		WP_010920692.1;YP_002518318.1;	33.0038
A0A0H3C740	Two-component response regulator		WP_012640199.1;YP_002516735.1;	44.6807
A0A0H3C565	3-ketoacyl-CoA thiolase (EC 2.3.1.9)		WP_010917966.1;YP_002515450.1;	71.7113
A0A0H3CBN8	Methyl-accepting chemotaxis protein		WP_010921187.1;YP_002518841.1;	29.3245
A0A0H3C9B8	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL	WP_010919238.1;YP_002516796.3;	253.21
A0A0H3C569	ROS/MUCR transcriptional regulator MucR1	mucR1	WP_012640096.1;YP_002516355.1;	332.195
A0A0H3C738	Uncharacterized protein		WP_012640103.1;YP_002516373.1;	7.33581e-05
A0A0H3CF14	SpoVT-AbrB family transcription factor, phd antitoxin	phd	WP_015923260.1;YP_002518847.1;	396.431
A0A0H3CAN9	Conjugal transfer protein TrbL		WP_012640559.1;YP_002518143.1;	17.8993
A0A0H3C8N3	Carboxypeptidase G2 (EC 3.4.17.11)		WP_010919479.1;YP_002517050.1;	288.45
A0A0H3CD85	MecR1 antirepressor protein		WP_024265847.1;YP_002518213.2;	38.2492
A0A0H3C2W3	PDZ domain family protein		WP_012639891.1;YP_002515525.1;	65.0498
A0A0H3C5M5	GntR-family transcriptional regulator		WP_010918668.1;YP_002516197.1;	57.946
A0A0H3C735	Myo-inositol catabolism protein IolD	iolD	WP_010919176.1;YP_002516730.1;	12.1278
A0A0H3CBL4	Uncharacterized protein		WP_012640571.1;YP_002518192.1;	0.0
A0A0H3C5I6	TonB-dependent receptor		WP_010918342.1;YP_002515859.1;	7.2823
A0A0H3CB82	TIM-barrel metal-dependent hydrolase		WP_024265922.1;YP_002518655.2;	46.3042
A0A0H3C6Y0	Altronate dehydratase (EC 4.2.1.7)	uxaA	WP_010919362.1;YP_002516928.1;	8.61718
A0A0H3C8K6	Beta-lactamase family protein		WP_012640274.1;YP_002517011.1;	129.423
A0A0H3CAL3	Biotin synthase related domain containing protein		WP_010920191.1;YP_002517790.1;	34.1756
A0A0H3CD80	CpxP-related protein		WP_010920590.1;YP_002518208.1;	24.073
A0A0H3CAU7	Histidine kinase (EC 2.7.13.3)		WP_010920596.1;YP_002518215.1;	64.6234
A0A0H3C6E6	Glycosyltransferase (EC 2.4.1.-)		WP_010918898.1;YP_002516439.1;	111.348
A0A0H3C3U6	Uncharacterized protein		WP_024265557.1;YP_002515857.2;	82.8387
A0A0H3C4K4	TetR family transcriptional regulator		WP_010918618.1;YP_002516142.1;	227.844
A0A0H3CBY5	Short chain dehydrogenase (EC 1.-.-.-)		WP_010921011.1;YP_002518651.1;	99.1361
A0A0H3C4V4	3-ketoacyl-CoA thiolase (EC 2.3.1.9)		WP_010918154.1;YP_002515641.1;	35.7156
A0A0H3C372	Uncharacterized protein		WP_010918159.1;YP_002515646.1;	0.0
A0A0H3C8T1	NTF2 superfamily protein		WP_010919817.1;YP_002517401.1;	329.228
A0A0H3CA54	Uncharacterized protein		WP_012640579.1;YP_002518225.1;	62.8194
A0A0H3C5A9	Uncharacterized protein		WP_012639889.1;YP_002515523.1;	212.713
A0A0H3C6M3	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)		WP_010918670.1;YP_002516199.1;	9.02464
A0A0H3CDE0	Uncharacterized protein		WP_010921584.1;YP_002519246.1;	180.892
A0A0H3CAU2	Transporter, drug/metabolite exporter family		WP_010920869.1;YP_002518501.1;	61.235
A0A0H3C8X6	MerR-family transcriptional regulator		WP_012640327.1;YP_002517213.1;	53.9458
A0A0H3C8X3	Uncharacterized protein		WP_010920151.1;YP_002517748.1;	13.3346
A0A0H3C9R1	D-mannonate oxidoreductase (EC 1.1.1.57)		WP_012640251.1;YP_002516927.1;	11.6205
A0A0H3CA32	Transposase		WP_012640573.1;YP_002518199.1;	76.2043
A0A0H3C889	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)		WP_010919913.1;YP_002517502.1;	17.089
A0A0H3C5R2	Conserved hypothetical cytosolic protein		WP_010918264.1;YP_002515755.1;	37.729
A0A0H3CB66	Acyl-CoA dehydrogenase (EC 1.3.99.-)		WP_010919912.1;YP_002517501.1;	14.095
A0A0H3C5U1	VapC-like PIN domain ribonuclease toxin		WP_010918726.1;YP_002516257.3;	32.2302
A0A0H3CA51	Periplasmic serine endoprotease DegP-like (EC 3.4.21.107)		WP_010920599.1;YP_002518219.1;	349.848
A0A0H3C9N6	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrE	WP_010919831.1;YP_002517416.1;	24.3447
A0A0H3C9Q8	TonB accessory protein exbD	exbD	WP_010920194.1;YP_002517793.1;	11509.7
A0A0H3CCC9	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH	WP_010921190.1;YP_002518844.1;	115.18
A0A0H3CE08	Aminoacyl-histidine dipeptidase		WP_024265899.1;YP_002518500.2;	101.378
A0A0H3C4Z8	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB	WP_010918407.1;YP_002515926.1;	35.0243
A0A0H3C6R7	Flagellar M-ring protein	fliF	WP_010918789.1;YP_002516323.1;	192.081
A0A0H3CCM9	Outer membrane protein		WP_024265968.1;YP_002518982.2;	1575.82
A0A0H3CFP6	Putative thiol-disulfide oxidoreductase		WP_010921412.1;YP_002519071.1;	16.8821
A0A0H3CD50	Multidrug/protein/lipid ABC transporter family, ATP-binding and permease protein		WP_015923241.1;YP_002518756.1;	63.9956
A0A0H3C726	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd	WP_010918894.1;YP_002516435.1;	215.075
A0A0H3CA60	NlpC/P60-family cell wall-associated hydrolase		WP_010920616.1;YP_002518236.3;	15.8481
A0A0H3C985	Citrate synthase		WP_010919772.1;YP_002517356.1;	781.593
A0A0H3C6R1	Aspartokinase (EC 2.7.2.4)		WP_010918728.1;YP_002516259.1;	238.843
A0A0H3C764	Phe-4-monooxygenase (EC 1.14.16.1) (Phenylalanine-4-hydroxylase)		WP_010919486.1;YP_002517057.1;	483.261
A0A0H3C816	ABC transporter ATP-binding protein		WP_010918723.1;YP_002516254.1;	46.2214
A0A0H3C8B8	Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-)	lolD	WP_010918816.1;YP_002516354.1;	17.4702
A0A0H3CD17	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC	WP_010921075.1;YP_002518723.1;	125.646
A0A0H3C8S9	Transport permease protein		WP_010920105.1;YP_002517700.1;	202.713
A0A0H3CAY3	NADH-quinone oxidoreductase subunit C (EC 7.1.1.-) (NADH dehydrogenase I subunit C) (NDH-1 subunit C)	nuoC	WP_010919820.1;YP_002517404.1;	935.946
A0A0H3CAV5	Histidine kinase (EC 2.7.13.3)		WP_010920606.1;YP_002518226.1;	77.1886
A0A0H3C6Y7	Zn-dependent hydrolase, glyoxalase II family		WP_012639984.1;YP_002515856.1;	193.526
A0A0H3C8N8	LytT-family transcriptional regulator		WP_010919484.1;YP_002517055.2;	77.9562
A0A0H3C688	Flagellar biosynthesis protein FliO	fliO	WP_010918836.1;YP_002516376.1;	131.309
A0A0H3C908	DadA-related amino acid oxidase		WP_010920188.1;YP_002517787.1;	146.525
A0A0H3C7X2	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH	WP_012640222.1;YP_002516805.1;	198.026
A0A0H3C940	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf	WP_012640396.1;YP_002517509.1;	658.026
A0A0H3C4B2	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	vapC	WP_010917921.1;YP_002515406.1;	105.741
A0A0H3CAE5	M23 family peptidoglycan-specific endopeptidase LdpB	ldpB	WP_012640449.1;YP_002517704.3;	67.6233
A0A0H3C5S7	TonB-dependent receptor		WP_024265490.1;YP_002515403.2;	26.9381
A0A0H3C567	LexA-related transcriptional repressor		WP_010917971.1;YP_002515455.1;	49.0902
A0A0H3C4T3	HAD superfamily phophatase		WP_010918133.1;YP_002515619.1;	22.8588
A0A0H3CAU3	RNA polymerase sigma factor		WP_010920592.1;YP_002518210.1;	96.8759
A0A0H3C739	Choline phosphatase (Phospholipase D)		WP_010918410.1;YP_002515929.1;	33.3525
A0A0H3C6E2	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	dnaX	WP_010918156.1;YP_002515643.2;	118.668
A0A0H3C9Q7	Multifunctional fusion protein [Includes: Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)]	cysC	WP_010919356.1;YP_002516922.1;	84.0237
A0A0H3CD23	Uncharacterized protein		WP_012640708.1;YP_002518729.1;	409.635
A0A0H3CAF0	Thioredoxin reductase (EC 1.8.1.9)		WP_024265863.1;YP_002518337.3;	169.393
A0A0H3CDT7	Glutathione-regulated potassium-efflux system protein kefC		WP_010921325.1;YP_002518984.1;	80.6448
A0A0H3C960	Malonate-semialdehyde dehydrogenase IolA	iolA	WP_012640198.1;YP_002516733.1;	20.2099
A0A0H3C5M3	Glutathione S-transferase (EC 2.5.1.18)		WP_010918663.1;YP_002516191.1;	12.4347
