Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
P0AA43	RSUA_ECOLI	reviewed	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA yejD b2183 JW2171	Escherichia coli (strain K12)	231	b2183 JW2171		rsuA	yejD	5 out of 5	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	cytosol [GO:0005829]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]	GO:0000455; GO:0003723; GO:0005829; GO:0009982; GO:0120159	cytosol [GO:0005829]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	U00008;U00096;AP009048;	AAC75244;BAE76648;		NP_416688.1;WP_001234850.1;
P0AGD3	SODF_ECOLI	reviewed	Superoxide dismutase [Fe] (EC 1.15.1.1)	sodB b1656 JW1648	Escherichia coli (strain K12)	193	b1656 JW1648		sodB		5 out of 5	removal of superoxide radicals [GO:0019430]; response to superoxide [GO:0000303]; superoxide metabolic process [GO:0006801]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; superoxide dismutase activity [GO:0004784]	GO:0000303; GO:0004784; GO:0005506; GO:0005737; GO:0005829; GO:0006801; GO:0016020; GO:0016491; GO:0019430	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; superoxide dismutase activity [GO:0004784]; removal of superoxide radicals [GO:0019430]; response to superoxide [GO:0000303]; superoxide metabolic process [GO:0006801]	J03511;U00096;AP009048;	AAC74728;BAA15422;		NP_416173.1;WP_000007283.1;
P30852	SMF_ECOLI	reviewed	Protein Smf	smf b4473 JW5708	Escherichia coli (strain K12)	374	b4473 JW5708		smf		2 out of 5	DNA mediated transformation [GO:0009294]			GO:0009294	DNA mediated transformation [GO:0009294]	X65946;X77091;X77800;U18997;U18997;U00096;AP009048;	AAT48176;BAE78006;		WP_000228551.1;YP_026211.1;
P76053	SMRA_ECOLI	reviewed	Probable DNA endonuclease SmrA (EC 3.1.-.-)	smrA ydaL b1340 JW1334	Escherichia coli (strain K12)	187	b1340 JW1334		smrA	ydaL	2 out of 5			DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]	GO:0003677; GO:0004520	DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]	U00096;AP009048;	AAC74422;BAE76405;		NP_415856.1;WP_001046829.1;
P76112	MNAT_ECOLI	reviewed	L-amino acid N-acyltransferase MnaT (EC 2.3.1.-) (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase)	mnaT yncA b1448 JW5233	Escherichia coli (strain K12)	172	b1448 JW5233		mnaT	yncA	4 out of 5			methione N-acyltransferase activity [GO:0103045]; N-acetyltransferase activity [GO:0008080]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0008080; GO:0016747; GO:0103045	methione N-acyltransferase activity [GO:0103045]; N-acetyltransferase activity [GO:0008080]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	U00096;AP009048;	AAC74530;BAA15080;		NP_415965.1;WP_001310799.1;
P0ACV2	LPXP_ECOLI	reviewed	Lipid A biosynthesis palmitoleoyltransferase (EC 2.3.1.242) (Kdo(2)-lipid IV(A) palmitoleoyltransferase)	lpxP ddg b2378 JW2375	Escherichia coli (strain K12)	306	b2378 JW2375		lpxP	ddg	4 out of 5	Kdo2-lipid A biosynthetic process [GO:0036104]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to cold [GO:0009409]	integral component of plasma membrane [GO:0005887]	palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity [GO:0008951]	GO:0005887; GO:0008951; GO:0009103; GO:0009245; GO:0009409; GO:0036104	integral component of plasma membrane [GO:0005887]; palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity [GO:0008951]; Kdo2-lipid A biosynthetic process [GO:0036104]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to cold [GO:0009409]	U49787;U00096;AP009048;	AAC75437;BAA16248;		NP_416879.4;WP_000484404.1;
P0AGC5	MLTF_ECOLI	reviewed	Membrane-bound lytic murein transglycosylase F (EC 4.2.2.n1) (Murein lyase F)	mltF yfhD b2558 JW2542	Escherichia coli (strain K12)	518	b2558 JW2542		mltF	yfhD	4 out of 5	cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	cell outer membrane [GO:0009279]	carbon-oxygen lyase activity, acting on polysaccharides [GO:0016837]; lytic transglycosylase activity [GO:0008933]	GO:0008933; GO:0009253; GO:0009279; GO:0016837; GO:0016998; GO:0071555	cell outer membrane [GO:0009279]; carbon-oxygen lyase activity, acting on polysaccharides [GO:0016837]; lytic transglycosylase activity [GO:0008933]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	D64044;U36841;U00096;AP009048;X72336;	AAC75611;BAE76734;		NP_417053.2;WP_000734212.1;
P0A746	MSRB_ECOLI	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB yeaA b1778 JW1767	Escherichia coli (strain K12)	137	b1778 JW1767		msrB	yeaA	5 out of 5	protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	iron ion binding [GO:0005506]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]	GO:0005506; GO:0005737; GO:0005829; GO:0006979; GO:0008270; GO:0030091; GO:0033743	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron ion binding [GO:0005506]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	U00096;AP009048;	AAC74848;BAA15575;		NP_416292.1;WP_001284618.1;
P77165	PAOA_ECOLI	reviewed	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA (EC 1.2.99.6)	paoA yagT b0286 JW0280	Escherichia coli (strain K12)	229	b0286 JW0280		paoA	yagT	5 out of 5		periplasmic space [GO:0042597]	2 iron, 2 sulfur cluster binding [GO:0051537]; carboxylate reductase activity [GO:0047770]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	GO:0009055; GO:0016903; GO:0042597; GO:0046872; GO:0047770; GO:0051537	periplasmic space [GO:0042597]; 2 iron, 2 sulfur cluster binding [GO:0051537]; carboxylate reductase activity [GO:0047770]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	U73857;U00096;AP009048;	AAC73389;BAE76070;		NP_414820.1;WP_000070700.1;
P07003	POXB_ECOLI	reviewed	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)	poxB b0871 JW0855	Escherichia coli (strain K12)	572	b0871 JW0855		poxB		5 out of 5	pyruvate catabolic process [GO:0042867]; pyruvate metabolic process [GO:0006090]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (quinone) activity [GO:0052737]; thiamine pyrophosphate binding [GO:0030976]; ubiquinone binding [GO:0048039]	GO:0000287; GO:0005829; GO:0005886; GO:0006090; GO:0008289; GO:0030976; GO:0032991; GO:0042802; GO:0042867; GO:0048039; GO:0050660; GO:0052737	cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (quinone) activity [GO:0052737]; thiamine pyrophosphate binding [GO:0030976]; ubiquinone binding [GO:0048039]; pyruvate catabolic process [GO:0042867]; pyruvate metabolic process [GO:0006090]	X04105;U00096;AP009048;S73268;M28208;L47688;L47689;L47690;L47691;L47692;L47693;L47694;L47695;	AAC73958;BAA35585;		NP_415392.1;WP_000815337.1;
P02359	RS7_ECOLI	reviewed	30S ribosomal protein S7 (Small ribosomal subunit protein uS7)	rpsG b3341 JW3303	Escherichia coli (strain K12)	179	b3341 JW3303		rpsG		5 out of 5	negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000028; GO:0000049; GO:0003729; GO:0003735; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	U18997;U00096;AP009048;V00355;J01689;X64592;X65735;J01688;	AAC76366;BAE77950;		NP_417800.1;WP_001138045.1;
P46187	RSEC_ECOLI	reviewed	Protein RseC	rseC b2570 JW2554	Escherichia coli (strain K12)	159	b2570 JW2554		rseC		4 out of 5	response to oxidative stress [GO:0006979]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0006979; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; response to oxidative stress [GO:0006979]	U37089;U37455;D64044;U00096;AP009048;	AAC75623;BAE76746;		NP_417065.1;WP_000589068.1;
P0AGB0	SERB_ECOLI	reviewed	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	serB b4388 JW4351	Escherichia coli (strain K12)	322	b4388 JW4351		serB		5 out of 5	cellular amino acid biosynthetic process [GO:0008652]; dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]	cytoplasm [GO:0005737]	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; phosphoserine phosphatase activity [GO:0004647]	GO:0000287; GO:0004647; GO:0005737; GO:0006564; GO:0008652; GO:0016311; GO:0016791; GO:0036424; GO:0036425	cytoplasm [GO:0005737]; D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; phosphoserine phosphatase activity [GO:0004647]; cellular amino acid biosynthetic process [GO:0008652]; dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]	X03046;U14003;U00096;AP009048;	AAC77341;BAE78377;		NP_418805.1;WP_001132955.1;
P21170	SPEA_ECOLI	reviewed	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	speA b2938 JW2905	Escherichia coli (strain K12)	658	b2938 JW2905		speA		5 out of 5	arginine catabolic process [GO:0006527]; putrescine biosynthetic process [GO:0009446]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295]	periplasmic space [GO:0042597]	arginine decarboxylase activity [GO:0008792]; metal ion binding [GO:0046872]	GO:0006527; GO:0008295; GO:0008792; GO:0009446; GO:0033388; GO:0042597; GO:0046872	periplasmic space [GO:0042597]; arginine decarboxylase activity [GO:0008792]; metal ion binding [GO:0046872]; arginine catabolic process [GO:0006527]; putrescine biosynthetic process [GO:0009446]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295]	M31770;U28377;U00096;AP009048;	AAC75975;BAE77001;		NP_417413.1;WP_001300904.1;
P0A8W2	SLYA_ECOLI	reviewed	Transcriptional regulator SlyA	slyA b1642 JW5267	Escherichia coli (strain K12)	144	b1642 JW5267		slyA		4 out of 5	negative regulation of DNA-templated transcription, initiation [GO:2000143]; pathogenesis [GO:0009405]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0006355; GO:0009405; GO:0045893; GO:2000143; GO:2000144	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; negative regulation of DNA-templated transcription, initiation [GO:2000143]; pathogenesis [GO:0009405]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	AJ010965;Y11194;U00096;AP009048;	AAC74714;BAA15403;		NP_416159.2;WP_001296943.1;
P0AGC7	SMP_ECOLI	reviewed	Probable inner membrane protein Smp	ytjB smp b4387 JW4350	Escherichia coli (strain K12)	214	b4387 JW4350		ytjB	smp	3 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	M30784;X03046;U14003;U00096;AP009048;L27665;	AAC77340;BAE78376;		NP_418804.1;WP_000124615.1;
P77326	TFAS_ECOLI	reviewed	Putative protein TfaS (Putative tail fiber assembly protein homolog from prophage CPS-53)	tfaS b2353 JW5383	Escherichia coli (strain K12)	114	b2353 JW5383		tfaS		1 out of 5									
P02929	TONB_ECOLI	reviewed	Protein TonB	tonB exbA b1252 JW5195	Escherichia coli (strain K12)	239	b1252 JW5195		tonB	exbA	5 out of 5	cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]	cell envelope [GO:0030313]; integral component of external side of plasma membrane [GO:0071575]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]	energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904]; siderophore transmembrane transporter activity [GO:0015343]	GO:0005886; GO:0015031; GO:0015343; GO:0015889; GO:0015891; GO:0019904; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0071575; GO:0098002; GO:0098797	cell envelope [GO:0030313]; integral component of external side of plasma membrane [GO:0071575]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904]; siderophore transmembrane transporter activity [GO:0015343]; cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]	K00431;U24195;U24196;U24197;U24198;U24199;U24200;U24201;U24202;U24203;U24204;U24205;U24206;U00096;AP009048;	AAC74334;BAA14784;		NP_415768.1;WP_001360141.1;
P0AAR0	TOMB_ECOLI	reviewed	Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms)	tomB ybaJ b0461 JW0450	Escherichia coli (strain K12)	124	b0461 JW0450		tomB	ybaJ	3 out of 5	single-species biofilm formation [GO:0044010]	cytoplasm [GO:0005737]	DNA binding [GO:0003677]	GO:0003677; GO:0005737; GO:0044010	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; single-species biofilm formation [GO:0044010]	U00096;AP009048;	AAC73563;BAE76240;		NP_414994.1;WP_000344800.1;
P36938	PGM_ECOLI	reviewed	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	pgm b0688 JW0675	Escherichia coli (strain K12)	546	b0688 JW0675		pgm		4 out of 5	carbohydrate metabolic process [GO:0005975]; glucose metabolic process [GO:0006006]	cytosol [GO:0005829]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]	GO:0000287; GO:0004614; GO:0005829; GO:0005975; GO:0006006	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; carbohydrate metabolic process [GO:0005975]; glucose metabolic process [GO:0006006]	U08369;U00096;AP009048;	AAC73782;BAA35337;		NP_415214.1;WP_001297249.1;
