uniprot_id	protein	gene	refseq	wt_tpm.txt	gapR_dep_tpm.txt	logTPM_wt	logTPM_gapR_depleted
B8GW27	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS	WP_010921576.1;YP_002519238.1;	252.245	195.831	7.97868186229091	7.613465351070865
B8GYD9	Nucleoid-associated protein CCNA_00269	NA	WP_012639925.1;YP_002515644.1;	1175.99	803.726	10.19966007696923	9.650559942653333
B8GYE0	Recombination protein RecR	recR	WP_012639926.1;YP_002515645.1;	365.71	378.037	8.514556266148185	8.5623836334914
B8GYW7	DNA gyrase inhibitor YacG	yacG	WP_010920199.1;YP_002517798.1;	98.1324	81.1421	6.616657639098887	6.342378735617165
B8GX17	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig	YP_002517415.1;	1898.09	1035.66	10.890332685596093	10.016334738630912
B8H209	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	ubiG	WP_010918725.1;YP_002516256.1;	57.4356	135.932	5.843873326964054	7.08674131333288
B8GX16	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	YP_002517414.1;	2085.21	1980.19	11.025976968429068	10.95142314875827
B8H358	Cell cycle transcriptional regulator CtrA (Response regulator SokA)	ctrA	WP_010920871.1;YP_002518503.1;	926.903	642.524	9.856274559109764	9.327606533628806
A0A0H3CAT5	Transposase (Transposase, HTH-Tnp1 superfamily)	NA	WP_010918402.1;YP_002515921.1;YP_002517747.1;YP_002518144.1;YP_002518200.1;	116.277	320.937	6.861421944647069	8.326146313577647
A0A0H3CAW4	Uncharacterized protein	NA	WP_010920617.1;YP_002518237.1;	2.81204	11.3918	1.4916171162423117	3.509923817868476
A0A0H3CA46	Uncharacterized protein	NA	WP_012640577.1;YP_002518214.1;	29.0393	64.9518	4.859934772094982	6.021297602317103
A0A0H3CC06	Uncharacterized protein	NA	WP_010920182.1;YP_002517781.1;	86.0664	52.7569	6.427378219683875	5.721287889082162
A0A0H3CC18	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	NA	WP_010920192.1;YP_002517791.1;	7.82549	32.3509	2.9681810905037027	5.015733943348594
A0A0H3C8E7	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	NA	WP_010918847.1;YP_002516387.2;	48.9662	81.6878	5.613714335576204	6.352048724130154
A0A0H3CAE3	DNA-binding protein HU	NA	WP_010920190.1;YP_002517789.1;	4026.12	1746.28	11.975174457622998	10.770069185109685
A0A0H3C6E1	Membrane fusion protein (MFP) family protein	rsaE	WP_010918893.1;YP_002516434.1;	324.177	217.215	8.340637926641822	7.76297992311219
A0A0H3CA10	Acetyltransferase family protein	NA	WP_010919485.1;YP_002517056.2;	80.6484	306.4	6.333574006632039	8.259272487037595
A0A0H3C7Q7	LacI-family transcriptional regulator	NA	WP_010919363.1;YP_002516929.1;	251.051	130.871	7.971836661413314	7.0320016324257235
A0A0H3C7B0	ROS/MUCR transcriptional regulator	NA	WP_024265704.1;YP_002516791.2;	480.284	512.576	8.907743937752214	9.001622119649683
A0A0H3CDJ3	ArsR-family transcriptional regulator	NA	WP_024265860.1;YP_002518330.2;	19.2326	28.3905	4.265481904551701	4.827336352233161
A0A0H3C878	Flagellar hook protein FlgE	flgE	WP_010918786.1;YP_002516320.1;	239.511	99.5484	7.903948105782202	6.637326223182557
A0A0H3CA40	Spx/MgsR-related protein (EC 1.20.4.1)	NA	WP_024265729.1;YP_002517087.2;	339.814	164.792	8.408601481127063	7.364502396856104
A0A0H3C6H8	Uncharacterized protein	NA	WP_024265705.1;YP_002516797.2;	117.635	89.9275	6.8781735595908815	6.490690456976322
A0A0H3CEH4	Pirin	NA	WP_010921014.1;YP_002518654.1;	31.9962	107.445	4.999828669790962	6.747454537658681
A0A0H3CAP3	Uncharacterized protein	NA	WP_012640560.1;YP_002518148.1;	580.133	851.289	9.180239876987255	9.733505178426883
A0A0H3CBM7	Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-)	msrP	WP_010920589.1;YP_002518207.1;	23.4042	32.7516	4.548695546723894	5.033493482626947
A0A0H3C7L0	AraC-family transcriptional regulator	NA	WP_012640330.1;YP_002517231.1;	106.054	16.4095	6.728655225271528	4.036459375267927
A0A0H3C699	Copper resistance protein B	NA	WP_010918849.1;YP_002516389.1;	40.5082	134.559	5.34014207453603	7.072095078866257
A0A0H3C7Q2	Uncharacterized protein	NA	WP_010919358.1;YP_002516924.1;	39.5187	433.198	5.304463583955679	8.758882772063664
A0A0H3C5Y8	Excisionase	NA	WP_012639978.1;YP_002515850.1;	13.1758	39.511	3.7198186560662347	5.3041824554217225
A0A0H3C8W8	TonB-dependent maltose outer membrane transporter malA	malA	WP_010920148.1;YP_002517743.1;	175.077	75.0848	7.451845758038392	6.230448976207506
A0A0H3C8C2	General stress protein 17O	NA	WP_010918821.1;YP_002516359.1;	39.5931	49.8124	5.307177124607921	5.638433017736541
A0A0H3CCR4	Uncharacterized protein	NA	WP_012640691.1;YP_002518658.1;	107.888	646.663	6.753390597665992	9.336870256100529
A0A0H3CF07	Zinc-dependent metalloprotease, MMP subfamily 2	NA	WP_010921186.1;YP_002518840.1;	36.7506	40.4392	5.199695898848836	5.337682551884748
A0A0H3CAK3	Hydrolase, nudix family	NA	WP_010920181.1;YP_002517780.1;	42.6017	37.018	5.412839096527075	5.210155046605142
A0A0H3C803	Hemimethylated DNA-binding protein yccV	NA	WP_010919487.1;YP_002517058.1;	267.703	1525.97	8.064489496332314	10.575510884267908
A0A0H3CD99	Uncharacterized protein	NA	WP_010920609.1;YP_002518229.1;	39.9005	578.651	5.318334920106932	9.176549672054643
A0A0H3CD67	TadG-family protein	NA	WP_010920578.1;YP_002518193.1;	47.294	170.894	5.563585261130491	7.416957935400829
A0A0H3CDD5	Thiamine monophosphate synthase TenI	NA	WP_024266003.1;YP_002519235.2;	90.183	377.422	6.494783597911515	8.560034710131834
A0A0H3C4K7	Uncharacterized protein	NA	WP_024265502.1;YP_002515522.2;	0	0	-Inf	-Inf
A0A0H3C966	Aspartyl protease perP	perP	WP_010919184.1;YP_002516738.1;	144.608	79.0649	7.176003557008916	6.304965462979887
A0A0H3C5G7	Serine kinase/phosphatase HprK (EC 2.7.1.-)	hprK	WP_010918128.1;YP_002515614.1;	34.6435	90.2695	5.114512786429045	6.496166711258186
A0A0H3CCW5	30S ribosomal protein S1	NA	WP_015923317.1;YP_002519075.1;	2460.56	1465.54	11.264770981234612	10.517216629703597
A0A0H3CAE9	TonB accessory protein exbB	exbB	WP_010920195.1;YP_002517794.1;	4277.62	1132.27	12.062592611843536	10.145002307508697
A0A0H3CBU1	Outer membrane protein A	NA	WP_010920685.1;YP_002518311.1;	44.6943	134.921	5.48201894674146	7.075971106170281
A0A0H3CA36	Uncharacterized protein	NA	WP_010919510.1;YP_002517082.1;	20.5925	34.8717	4.364047083607321	5.123984792290959
A0A0H3C3G2	Probable membrane transporter protein	NA	WP_024265536.1;YP_002515751.2;	51.0023	53.9801	5.672490403221969	5.754355744337004
A0A0H3CBN7	Antitoxin protein parD3	parD3	WP_012640578.1;YP_002518217.1;	930.101	2971.14	9.86124357727214	11.536800871170678
A0A0H3CBP7	PepSY peptidase propeptide domain protein	NA	WP_010920608.1;YP_002518228.1;	626.015	4734.29	9.290053415888444	12.208932366050957
A0A0H3C9K5	FlhB-like flagellar protein	NA	WP_010919773.1;YP_002517357.1;	62.8631	84.0068	5.974141513132063	6.392434207650365
A0A0H3C2N9	Acyl-CoA dehydrogenase, long-chain specific (EC 1.3.8.8)	NA	WP_010917968.1;YP_002515452.1;	51.0171	124.222	5.672908988054951	6.956776890548764
A0A0H3CB21	Uncharacterized protein	NA	WP_010920691.1;YP_002518317.1;	197.785	96.7646	7.627789206133645	6.596407448738529
A0A0H3C827	MecR antirepressor / ankyrin repeat family protein	NA	WP_010919512.1;YP_002517084.1;	23.7246	70.7546	4.568311858303141	6.144752040449633
A0A0H3C6X2	PAS-family motility and cell cycle regulatory protein MopJ	mopJ	WP_024265646.1;YP_002516372.2;	43.8615	84.0304	5.454883245830865	6.39283944652829
A0A0H3C593	Uncharacterized protein	NA	WP_024265647.1;YP_002516380.2;	16.6914	17.6659	4.0610330614722425	4.142895344962897
A0A0H3CCW8	Lrp-family transcriptional regulator	NA	WP_024265921.1;YP_002518653.2;	532.445	400.32	9.056488696661882	8.645009884391095
A0A0H3C6E0	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	NA	WP_010918669.1;YP_002516198.1;	10.5273	15.8558	3.3960635620116553	3.986938764944435
A0A0H3CAD8	Soluble lytic transglycosylase PleA	pleA	WP_012640469.1;YP_002517784.1;	64.2409	93.1762	6.00542019970463	6.541889589178497
A0A0H3C507	CtrA inhibitory protein SciP	sciP	WP_010918787.1;YP_002516321.2;	8051.19	2061.82	12.974986320090176	11.009702673409583
A0A0H3C6Z9	ABC-type transport system involved in lipoprotein release, permease component LolE	lolE	WP_010918815.1;YP_002516353.1;	17.0623	123.095	4.092740230109639	6.9436283519081865
A0A0H3CAT8	Microsomal dipeptidase (EC 3.4.13.19)	NA	WP_012640575.1;YP_002518205.1;	63.3776	79.147	5.985901123278128	6.306462762152563
A0A0H3CBN0	DnaJ-class molecular chaperone	NA	WP_012640580.1;YP_002518233.1;	226.869	740.836	7.825715678460153	9.533010396039645
A0A0H3CC94	Peptidase, M16 family (EC 3.4.11.-)	NA	WP_010921413.1;YP_002519072.1;	96.8743	279.557	6.598042075488802	8.12699865972437
A0A0H3CBW8	SpsF-related cytidylyltransferase	NA	WP_010920693.1;YP_002518319.1;	13.9408	22.4713	3.8012414482684584	4.490011683993598
A0A0H3C9C9	Uncharacterized protein	NA	WP_024265706.1;YP_002516808.2;	152.605	226.445	7.2536584216524815	7.823016874206503
A0A0H3C339	Uncharacterized protein	NA	WP_010918125.1;YP_002515611.1;	96.93	75.3083	6.598871346211795	6.2347369731835816
A0A0H3C8D4	Transporter, major facilitator superfamily	NA	WP_010919355.1;YP_002516921.1;	62.3345	51.6205	5.9619589612273876	5.689872210438326
A0A0H3C8J2	RimI-like acetyltransferase	NA	WP_010919483.1;YP_002517054.1;	145.526	110.953	7.185133121052937	6.7938048661119
A0A0H3CBW9	Alpha-amylase (EC 3.2.1.1)	NA	WP_024265787.1;YP_002517742.2;	82.0792	53.4112	6.358944764408629	5.739070392796513
A0A0H3C9L1	Glucan 1,4-beta-glucosidase (EC 3.2.1.74)	celD	WP_010919915.1;YP_002517504.1;	34.0692	28.5018	5.090396165902974	4.832981128868996
A0A0H3CCP0	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	NA	WP_010921572.1;YP_002519234.1;	110.641	276.003	6.789742290859873	8.10854013816078
A0A0H3CC12	Acyl-CoA dehydrogenase (EC 1.3.99.-)	NA	WP_010920187.1;YP_002517786.1;	129.107	179.796	7.012423413436933	7.490217114718544
A0A0H3CBH6	M23 family peptidoglycan-specific endopeptidase LdpD	ldpD	WP_010920870.1;YP_002518502.1;	202.049	198.147	7.658561400991167	7.630427314446825
A0A0H3C8S4	DUF2147 domain-containing protein	NA	WP_010919509.1;YP_002517081.1;	118.157	193.245	6.884561291504053	7.594287276274012
A0A0H3C8Z2	Iron-regulated membrane protein	NA	WP_010919650.1;YP_002517233.1;	47.0238	33.396	5.5553192229816375	5.061603409390677
A0A0H3CBN2	Uncharacterized protein	NA	WP_012640582.1;YP_002518238.1;	4.65353	24.8272	2.2183255079263393	4.633849659104694
A0A0H3C4K9	Aspartate aminotransferase (EC 2.6.1.1)	NA	WP_010918624.1;YP_002516148.1;	25.23	31.9246	4.6570683012015754	4.996596638648358
A0A0H3C6X7	Flagellar basal body rod protein FlgB	flgB	WP_012640104.1;YP_002516377.1;	166.346	151.496	7.378043364985309	7.2431358920119155
A0A0H3C9X4	Beta-lactamase family protein	NA	WP_010919442.1;YP_002517012.1;	17.0561	35.5113	4.092215896650159	5.1502062704876845
A0A0H3C403	Cupin superfamily protein	NA	WP_012639995.1;YP_002515925.1;	60.8796	70.8936	5.927886974755231	6.147583487302505
A0A0H3C633	LacI-family transcriptional regulator	NA	WP_010918404.1;YP_002515923.1;	17.4731	92.4769	4.127063682413392	6.531021131679384
A0A0H3C6B5	PTS system, IIA component (EC 2.7.1.191)	NA	WP_012639920.1;YP_002515615.1;	559.382	482.124	9.127690020763403	8.91326043825845
A0A0H3C8M1	Gluconate 2-dehydrogenase subunit 3-family protein	NA	WP_010919508.1;YP_002517080.1;	18.1422	24.2215	4.181277508672218	4.598216306556766
A0A0H3CA61	Uncharacterized protein	NA	WP_012640448.1;YP_002517703.1;	165.935	208.85	7.374474410009275	7.706323333275431
A0A0H3CD29	Methyl-accepting chemotaxis protein	NA	WP_010920537.1;YP_002518146.1;	28.9986	57.796	4.8579113460995735	5.85289774367121
A0A0H3C6W1	Phosphinothricin N-acetyltransferase (EC 2.3.1.-)	NA	WP_012640097.1;YP_002516357.1;	171.651	103.404	7.4233344519102005	6.69214818460113
A0A0H3CAH1	Alpha-glucosidase (EC 3.2.1.20)	NA	WP_012640457.1;YP_002517741.1;	67.0923	29.6076	6.068075296644401	4.887895644895276
A0A0H3C9N2	Uncharacterized protein	NA	WP_010919819.1;YP_002517403.1;	838.886	385.291	9.712330959427604	8.589804676299007
A0A0H3C6Y3	Uncharacterized protein	NA	WP_012639979.1;YP_002515851.1;	41.3479	47.0217	5.369742153751371	5.5552547933260685
A0A0H3C465	DNA recombination protein RmuC homolog	NA	WP_010918160.1;YP_002515647.1;	87.6827	308.361	6.454220318558025	8.268476501511092
A0A0H3C883	Flagellar assembly protein FlbE/FliH	flbE	WP_010918791.1;YP_002516325.1;	30.7491	18.9676	4.942472279500588	4.245465238731921
A0A0H3C988	Histidine kinase (EC 2.7.13.3)	NA	WP_010919636.1;YP_002517219.1;	65.9764	54.6384	6.043878154332465	5.77184333206839
A0A0H3C461	AMP nucleosidase (EC 3.2.2.4)	amn	WP_010918153.1;YP_002515640.1;	429.326	544.026	8.745929734876405	9.087531791939147
A0A0H3CBW7	Non-specific DNA-binding protein Dps/iron-binding ferritin-like antioxidant protein/ferroxidase (EC 1.16.3.1)	NA	WP_024265864.1;YP_002518339.2;	140.9	691.857	7.138527801422274	9.434330067651146
A0A0H3CAA3	Uncharacterized protein	NA	WP_010920150.1;YP_002517745.1;	0	0	-Inf	-Inf
A0A0H3C777	Helix-turn-helix transcriptional regulator	NA	WP_010918890.1;YP_002516431.1;	168.057	421.841	7.3928068255772095	8.720555511606367
A0A0H3C722	Uncharacterized protein	NA	WP_010918889.1;YP_002516430.1;	204.6	278.067	7.676662334857967	8.119288730715107
A0A0H3C637	Nitrogen regulatory protein P-II	glnC	WP_010918409.1;YP_002515928.1;	377.212	510.252	8.559231762036713	8.99506612187726
A0A0H3CA99	CelR-family transcriptional regulator	NA	WP_010920145.1;YP_002517740.1;	86.5011	64.8017	6.434646573930997	6.0179597559818125
A0A0H3C743	Flagellar basal-body rod protein FlgC	flgC	WP_010918838.1;YP_002516378.1;	171.078	171.725	7.418510436267217	7.423956274254676
A0A0H3C5W4	Uncharacterized protein	NA	WP_010917967.1;YP_002515451.1;	67.5247	123.227	6.077343420003334	6.945174586216341
A0A0H3C6Y1	N-formimino-L-glutamate deiminase (EC 3.5.3.13)	NA	WP_010918845.1;YP_002516385.4;	123.487	159.93	6.948215360955463	7.321296777696266
A0A0H3CDU1	PiuB-related membrane protein (EC 1.8.1.2)	NA	WP_010921330.1;YP_002518989.1;	313.52	141.616	8.292413667827486	7.145840462375165
A0A0H3CE94	Uncharacterized protein	NA	WP_024266004.1;YP_002519236.2;	1886.18	1347.17	10.881251645041992	10.39571620129874
A0A0H3C8B5	DNA integration/recombination/inversion protein	NA	WP_010919634.1;YP_002517217.1;	16.1935	67.6321	4.0173429327157	6.079636245521613
A0A0H3C9M7	Tryptophan halogenase superfamily protein	NA	WP_010920149.1;YP_002517744.2;	31.6625	82.9434	4.9847032668251385	6.374055282022748
A0A0H3CBJ6	Uncharacterized protein	NA	WP_012640572.1;YP_002518196.1;	0	0	-Inf	-Inf
A0A0H3C3U2	Helix-turn-helix DNA-binding protein	NA	WP_012639980.1;YP_002515852.1;	23.5731	42.168	4.559069588755185	5.398076692067445
A0A0H3CBU6	Histidine kinase (EC 2.7.13.3)	NA	WP_010920692.1;YP_002518318.1;	33.0038	39.6396	5.044560238314072	5.3088704993661535
A0A0H3C740	Two-component response regulator	NA	WP_012640199.1;YP_002516735.1;	44.6807	340.185	5.481579883184368	8.41017571848117
A0A0H3C565	3-ketoacyl-CoA thiolase (EC 2.3.1.9)	NA	WP_010917966.1;YP_002515450.1;	71.7113	118.645	6.16412856624766	6.890507492774353
A0A0H3CBN8	Methyl-accepting chemotaxis protein	NA	WP_010921187.1;YP_002518841.1;	29.3245	57.4742	4.87403460455052	5.844842574681358
A0A0H3C9B8	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL	WP_010919238.1;YP_002516796.3;	253.21	230.708	7.984190571892969	7.8499242213648355
A0A0H3C569	ROS/MUCR transcriptional regulator MucR1	mucR1	WP_012640096.1;YP_002516355.1;	332.195	241.587	8.375886548657522	7.916399013890802
A0A0H3C738	Uncharacterized protein	NA	WP_012640103.1;YP_002516373.1;	7.33581e-5	1.56261e-4	-13.734684201317304	-12.643754627618792
A0A0H3CF14	SpoVT-AbrB family transcription factor, phd antitoxin	phd	WP_015923260.1;YP_002518847.1;	396.431	999.95	8.630925972171937	9.965712148106613
A0A0H3CAN9	Conjugal transfer protein TrbL	NA	WP_012640559.1;YP_002518143.1;	17.8993	51.7836	4.1618312630318925	5.694423359886099
A0A0H3C8N3	Carboxypeptidase G2 (EC 3.4.17.11)	NA	WP_010919479.1;YP_002517050.1;	288.45	241.839	8.17217745317369	7.917903108346765
A0A0H3CD85	MecR1 antirepressor protein	NA	WP_024265847.1;YP_002518213.2;	38.2492	76.8209	5.257357668363175	6.263426960838231
A0A0H3C2W3	PDZ domain family protein	NA	WP_012639891.1;YP_002515525.1;	65.0498	554.56	6.0234727161739885	9.115199749385445
A0A0H3C5M5	GntR-family transcriptional regulator	NA	WP_010918668.1;YP_002516197.1;	57.946	49.8921	5.856637170625808	5.640739489746319
A0A0H3C735	Myo-inositol catabolism protein IolD	iolD	WP_010919176.1;YP_002516730.1;	12.1278	20.2012	3.600245962167702	4.3363690899747445
A0A0H3CBL4	Uncharacterized protein	NA	WP_012640571.1;YP_002518192.1;	0	0	-Inf	-Inf
A0A0H3C5I6	TonB-dependent receptor	NA	WP_010918342.1;YP_002515859.1;	7.2823	39.6494	2.864394174948482	5.309227129200625
A0A0H3CB82	TIM-barrel metal-dependent hydrolase	NA	WP_024265922.1;YP_002518655.2;	46.3042	147.451	5.533071153261851	7.2040917964412365
A0A0H3C6Y0	Altronate dehydratase (EC 4.2.1.7)	uxaA	WP_010919362.1;YP_002516928.1;	8.61718	17.0335	3.107215819936041	4.090303001649874
A0A0H3C8K6	Beta-lactamase family protein	NA	WP_012640274.1;YP_002517011.1;	129.423	151.966	7.015950213885283	7.247604769244598
A0A0H3CAL3	Biotin synthase related domain containing protein	NA	WP_010920191.1;YP_002517790.1;	34.1756	92.6216	5.094894761450986	6.533276774106984
