Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
O34813	SIRC_BACSU	reviewed	Precorrin-2 dehydrogenase (EC 1.3.1.76)	sirC ylnF BSU15630	Bacillus subtilis (strain 168)	162	BSU15630		sirC	ylnF	3 out of 5	cobalamin biosynthetic process [GO:0009236]; siroheme biosynthetic process [GO:0019354]		ferrochelatase activity [GO:0004325]; precorrin-2 dehydrogenase activity [GO:0043115]	GO:0004325; GO:0009236; GO:0019354; GO:0043115	ferrochelatase activity [GO:0004325]; precorrin-2 dehydrogenase activity [GO:0043115]; cobalamin biosynthetic process [GO:0009236]; siroheme biosynthetic process [GO:0019354]	AJ000974;AL009126;	CAB13437;		NP_389446.1;WP_003232091.1;
P54506	LEPW_BACSU	reviewed	Signal peptidase I W (SPase I) (EC 3.4.21.89) (Leader peptidase I)	sipW yqhE BSU24630	Bacillus subtilis (strain 168)	190	BSU24630		sipW	yqhE	4 out of 5	signal peptide processing [GO:0006465]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0005886; GO:0006465; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; signal peptide processing [GO:0006465]	D84432;AL009126;	CAB14394;		NP_390343.1;WP_003246088.1;
O34851	LDC_BACSU	reviewed	Probable murein peptide carboxypeptidase (EC 3.4.16.-) (LD-carboxypeptidase)	ykfA BSU12970	Bacillus subtilis (strain 168)	319	BSU12970		ykfA		3 out of 5	cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]	cytoplasm [GO:0005737]	carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]	GO:0004180; GO:0005737; GO:0008236; GO:0016998; GO:0071555	cytoplasm [GO:0005737]; carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]	AJ002571;AL009126;	CAB13154;		NP_389180.2;WP_009967072.1;
P54541	PCCB_BACSU	reviewed	Putative propionyl-CoA carboxylase beta chain (PCCase) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase)	yqjD BSU23920	Bacillus subtilis (strain 168)	507	BSU23920		yqjD		3 out of 5	fatty acid biosynthetic process [GO:0006633]	acetyl-CoA carboxylase complex [GO:0009317]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; propionyl-CoA carboxylase activity [GO:0004658]	GO:0003989; GO:0004658; GO:0005524; GO:0006633; GO:0009317	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; propionyl-CoA carboxylase activity [GO:0004658]; fatty acid biosynthetic process [GO:0006633]	D84432;AL009126;	CAB14323;		NP_390272.2;WP_010886564.1;
O34899	PDUO_BACSU	reviewed	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)	yvqK BSU33150	Bacillus subtilis (strain 168)	193	BSU33150		yvqK		3 out of 5	cobalamin biosynthetic process [GO:0009236]; porphyrin-containing compound biosynthetic process [GO:0006779]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; cob(I)yrinic acid a,c-diamide adenosyltransferase activity [GO:0008817]	GO:0005524; GO:0005737; GO:0006779; GO:0008817; GO:0009236	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cob(I)yrinic acid a,c-diamide adenosyltransferase activity [GO:0008817]; cobalamin biosynthetic process [GO:0009236]; porphyrin-containing compound biosynthetic process [GO:0006779]	AJ223978;AL009126;	CAB15305;		NP_391195.2;WP_003228501.1;
P39793	PBPA_BACSU	reviewed	Penicillin-binding protein 1A/1B (PBP1) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA BSU22320	Bacillus subtilis (strain 168)	914	BSU22320		ponA		5 out of 5	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	GO:0005886; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0016021; GO:0046677; GO:0071555	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	U11883;L47838;AL009126;	CAB14148;		NP_390113.1;WP_004398589.1;
O07617	PHOE_BACSU	reviewed	Uncharacterized phosphatase PhoE (EC 3.1.3.-)	phoE yhfR BSU10340	Bacillus subtilis (strain 168)	193	BSU10340		phoE	yhfR	3 out of 5		cytoplasm [GO:0005737]	hydrolase activity [GO:0016787]; intramolecular transferase activity, phosphotransferases [GO:0016868]	GO:0005737; GO:0016787; GO:0016868	cytoplasm [GO:0005737]; hydrolase activity [GO:0016787]; intramolecular transferase activity, phosphotransferases [GO:0016868]	Y14084;AL009126;	CAB12874;		NP_388915.1;WP_003233157.1;
P35166	RSIX_BACSU	reviewed	Anti-sigma-X factor RsiX (Sigma-X negative effector)	rsiX ypuN BSU23090	Bacillus subtilis (strain 168)	368	BSU23090		rsiX	ypuN	2 out of 5		plasma membrane [GO:0005886]		GO:0005886	plasma membrane [GO:0005886]	L09228;AL009126;	CAB14241;		NP_390190.2;WP_009967642.1;
O07014	RSBP_BACSU	reviewed	Phosphoserine phosphatase RsbP (EC 3.1.3.3)	rsbP yvfP BSU34110	Bacillus subtilis (strain 168)	403	BSU34110		rsbP	yvfP	3 out of 5			D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; phosphoprotein phosphatase activity [GO:0004721]	GO:0004721; GO:0036424; GO:0036425	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; phosphoprotein phosphatase activity [GO:0004721]	Z94043;AL009126;	CAB15416;		NP_391291.1;WP_003228290.1;
O31606	SPXH_BACSU	reviewed	ClpXP adapter protein SpxH	spxH yjbH BSU11550	Bacillus subtilis (strain 168)	299	BSU11550		spxH	yjbH	4 out of 5		cytoplasm [GO:0005737]	metal ion binding [GO:0046872]	GO:0005737; GO:0046872	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]	AL009126;	CAB13012;		NP_389037.2;WP_003245184.1;
O31429	SKFG_BACSU	reviewed	Uncharacterized protein SkfG	skfG ybdD BSU01970	Bacillus subtilis (strain 168)	171	BSU01970		skfG	ybdD	3 out of 5	bacteriocin biosynthetic process [GO:0030152]			GO:0030152	bacteriocin biosynthetic process [GO:0030152]	AB006424;AL009126;	CAB11991;		NP_388079.2;WP_003234897.1;
P97027	SSUB_BACSU	reviewed	Aliphatic sulfonates import ATP-binding protein SsuB (EC 7.6.2.14)	ssuB ycbE ygaL BSU08830	Bacillus subtilis (strain 168)	255	BSU08830		ssuB	ycbE ygaL	3 out of 5		plasma membrane [GO:0005886]	anion transmembrane transporter activity [GO:0008509]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005886; GO:0008509; GO:0042626	plasma membrane [GO:0005886]; anion transmembrane transporter activity [GO:0008509]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	Z93102;AL009126;	CAB12711;		NP_388763.3;WP_010886450.1;
P39456	TCYC_BACSU	reviewed	L-cystine import ATP-binding protein TcyC (EC 7.4.2.-)	tcyC yckI BSU03590	Bacillus subtilis (strain 168)	247	BSU03590		tcyC	yckI	3 out of 5		plasma membrane [GO:0005886]	ABC-type amino acid transporter activity [GO:0015424]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005886; GO:0015424; GO:0042626	plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	X77636;L17438;D50453;AL009126;	CAB12153;		NP_388241.2;WP_003246629.1;
P39796	TRER_BACSU	reviewed	HTH-type transcriptional regulator TreR (Trehalose operon repressor)	treR yfxA BSU07820	Bacillus subtilis (strain 168)	238	BSU07820		treR	yfxA	3 out of 5			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	Z54245;D83967;AL009126;X80203;	CAB12611;		NP_388663.1;WP_003233679.1;
P12043	PUR5_BACSU	reviewed	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	purM ath BSU06500	Bacillus subtilis (strain 168)	346	BSU06500		purM	ath	3 out of 5	'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]	cytosol [GO:0005829]	ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]	GO:0004637; GO:0004641; GO:0005524; GO:0005829; GO:0006164; GO:0006189; GO:0046084	cytosol [GO:0005829]; ATP binding [GO:0005524]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084]; purine nucleotide biosynthetic process [GO:0006164]	J02732;AL009126;	CAB12470;		NP_388532.2;WP_003242485.1;
Q797S1	PTXBC_BACSU	reviewed	Putative PTS system EIIBC component YbbF [Includes: Phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system EIIB component); Permease IIC component (PTS system EIIC component)]	ybbF BSU01680	Bacillus subtilis (strain 168)	455	BSU01680		ybbF		3 out of 5	carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity [GO:0090588]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]	GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:0016301; GO:0034219; GO:0090563; GO:0090588	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity [GO:0090588]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	AL009126;	CAB11944;		NP_388049.3;WP_003234968.1;
P12045	PURK_BACSU	reviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK BSU06430	Bacillus subtilis (strain 168)	380	BSU06430		purK		3 out of 5	'de novo' IMP biosynthetic process [GO:0006189]	cytosol [GO:0005829]	5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]	GO:0004638; GO:0005524; GO:0005829; GO:0006189; GO:0034028; GO:0046872	cytosol [GO:0005829]; 5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; 'de novo' IMP biosynthetic process [GO:0006189]	J02732;AL009126;	CAB12463;		NP_388525.2;WP_009966735.1;
P37544	RSMI_BACSU	reviewed	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI yabC BSU00360	Bacillus subtilis (strain 168)	292	BSU00360		rsmI	yabC	2 out of 5	enzyme-directed rRNA 2'-O-methylation [GO:0000453]	cytoplasm [GO:0005737]	rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]	GO:0000453; GO:0005737; GO:0070677	cytoplasm [GO:0005737]; rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]; enzyme-directed rRNA 2'-O-methylation [GO:0000453]	D26185;AL009126;	CAB11812;		NP_387917.1;WP_003243457.1;
P40870	S5AEA_BACSU	reviewed	Stage V sporulation protein AE	spoVAEA spoVAE BSU23401 BSU23400	Bacillus subtilis (strain 168)	203	BSU23401	BSU23400	spoVAEA	spoVAE	1 out of 5	sporulation resulting in formation of a cellular spore [GO:0030435]			GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	D84432;AL009126;	CAX52658;		WP_003230469.1;YP_003097758.1;
P37956	SPL_BACSU	reviewed	Spore photoproduct lyase (EC 4.1.99.14)	splB spl BSU13930	Bacillus subtilis (strain 168)	342	BSU13930		splB	spl	5 out of 5	DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA photolyase activity [GO:0003913]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]	GO:0003677; GO:0003913; GO:0006281; GO:0030435; GO:0042601; GO:0046872; GO:0051536; GO:0051539; GO:1904047	endospore-forming forespore [GO:0042601]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA photolyase activity [GO:0003913]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	L08809;AL009126;X97385;	CAB13266;		NP_389276.1;WP_003245173.1;
P37105	SRP54_BACSU	reviewed	Signal recognition particle protein (Fifty-four homolog)	ffh BSU15980	Bacillus subtilis (strain 168)	446	BSU15980		ffh		3 out of 5	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	signal recognition particle [GO:0048500]	7S RNA binding [GO:0008312]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	GO:0003924; GO:0005525; GO:0006614; GO:0008312; GO:0048500	signal recognition particle [GO:0048500]; 7S RNA binding [GO:0008312]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	D14356;AL009126;	CAB13471;		NP_389480.1;WP_003232020.1;
O31625	SPVIF_BACSU	reviewed	Sporulation-specific transcription factor SpoVIF (Stage VI sporulation protein F)	spoVIF yjcC BSU11810	Bacillus subtilis (strain 168)	84	BSU11810		spoVIF	yjcC	2 out of 5	sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]		GO:0005737; GO:0030435	cytoplasm [GO:0005737]; sporulation resulting in formation of a cellular spore [GO:0030435]	AL009126;	CAB13038;		NP_389063.2;WP_003232870.1;
P39627	SPSG_BACSU	reviewed	Spore coat polysaccharide biosynthesis protein SpsG	spsG spsH BSU37850 ipa-69d/ipa-70d	Bacillus subtilis (strain 168)	339	BSU37850	ipa-69d/ipa-70d	spsG	spsH	2 out of 5		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transferase activity, transferring hexosyl groups [GO:0016758]	GO:0005886; GO:0016021; GO:0016758	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transferase activity, transferring hexosyl groups [GO:0016758]	X73124;X73124;AL009126;	CAB15811;		NP_391664.1;WP_003244190.1;
O31986	SUNS_BACSU	reviewed	SPbeta prophage-derived glycosyltransferase SunS (EC 2.4.1.-)	sunS yolJ BSU21450	Bacillus subtilis (strain 168)	422	BSU21450		sunS	yolJ	3 out of 5	bacteriocin biosynthetic process [GO:0030152]; protein S-linked glycosylation via cysteine [GO:0018240]		UDP-glycosyltransferase activity [GO:0008194]	GO:0008194; GO:0018240; GO:0030152	UDP-glycosyltransferase activity [GO:0008194]; bacteriocin biosynthetic process [GO:0030152]; protein S-linked glycosylation via cysteine [GO:0018240]	AL009126;AF021803;	CAB14063;		NP_390028.1;WP_004399050.1;
O31618	THIG_BACSU	reviewed	Thiazole synthase (EC 2.8.1.10)	thiG yjbT BSU11690	Bacillus subtilis (strain 168)	256	BSU11690		thiG	yjbT	5 out of 5	thiamine diphosphate biosynthetic process [GO:0009229]	cytoplasm [GO:0005737]	thiazole synthase activity [GO:1990107]	GO:0005737; GO:0009229; GO:1990107	cytoplasm [GO:0005737]; thiazole synthase activity [GO:1990107]; thiamine diphosphate biosynthetic process [GO:0009229]	AL009126;	CAB13026;		NP_389051.1;WP_010886483.1;
