uniprot_id	protein	gene	refseq	control_average_tpm.txt	stat_average_tpm.txt
Q9HTL4	OxyR	oxyR	NP_254031.1;WP_003096622.1;	112.146	40.6991
Q9HT12	Probable chromosome-partitioning protein ParB	spoOJ	NP_254249.1;WP_003100240.1;	100.566	31.1117
Q9HTG1	Probable transcriptional regulator		NP_254090.1;WP_003096753.1;	84.0379	20.8755
Q9HT74	Transcriptional regulator np20	np20	NP_254186.1;WP_003096992.1;	170.06599999999997	89.3967
Q9HTQ3	Probable transcriptional regulator		NP_253988.1;WP_003096513.1;	369.62699999999995	320.386
Q9HYY0	Probable transcriptional regulator		NP_251950.1;WP_003114792.1;	259.673	300.619
Q9HZF3	Uncharacterized protein		NP_251745.1;WP_003115353.1;	121.527	37.9156
Q9I295	Regulator of liu genes	liuR	NP_250706.1;WP_003100383.1;	278.28700000000003	61.4167
Q9I0Z8	HTH tetR-type domain-containing protein		NP_251174.1;WP_003113298.1;	154.812	185.9
Q9I3J3	Probable transcriptional regulator		NP_250211.1;WP_003083340.1;	147.18	65.3603
Q9HY46	NalD	nalD	NP_252264.1;WP_003092152.1;	88.6094	20.2537
G3XD78	Regulatory protein RsaL	rsaL	NP_250122.1;WP_003083010.1;	5433.31	5205.5
Q9HX76	Probable DNA binding protein		NP_252629.1;WP_003093079.1;	4000.12	454.58
Q9I5F9	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	NP_249470.1;WP_003101982.1;	104.516	40.7516
