Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Annotation	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Gene ontology (GO)	Cross-reference (EMBL)	EnsemblBacteria transcript	Ensembl transcript	Cross-reference (RefSeq)
Q7DDM4	RS15_NEIMB	reviewed	30S ribosomal protein S15	rpsO NMB0609	Neisseria meningitidis serogroup B (strain MC58)	89	NMB0609		rpsO		2 out of 5	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0019843; GO:0022627	cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF41036;		NP_273653.1;WP_002217790.1;
P66561	RS4_NEIMB	reviewed	30S ribosomal protein S4	rpsD NMB0167	Neisseria meningitidis serogroup B (strain MC58)	206	NMB0167		rpsD		2 out of 5	positive regulation of translational fidelity [GO:0045903]; translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0015935; GO:0019843; GO:0045903	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; positive regulation of translational fidelity [GO:0045903]; translation [GO:0006412]	AE002098;	AAF40624;		NP_273225.1;WP_002215455.1;
Q9JXE3	RSMI_NEIMB	reviewed	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI NMB2088	Neisseria meningitidis serogroup B (strain MC58)	291	NMB2088		rsmI		2 out of 5	enzyme-directed rRNA 2'-O-methylation [GO:0000453]	cytoplasm [GO:0005737]	rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]	GO:0000453; GO:0005737; GO:0070677	cytoplasm [GO:0005737]; rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]; enzyme-directed rRNA 2'-O-methylation [GO:0000453]	AE002098;	AAF42405;		NP_275076.1;WP_002225719.1;
Q9JXM5	SLM2_NEIMB	reviewed	Surface lipoprotein assembly modifier 2 (Slam2)	NMB1971	Neisseria meningitidis serogroup B (strain MC58)	505	NMB1971				2 out of 5		cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]		GO:0009279; GO:0016021	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]	AE002098;	AAF42300;		NP_274965.1;WP_002244327.1;
P67029	SYGA_NEIMB	reviewed	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ NMB1932	Neisseria meningitidis serogroup B (strain MC58)	301	NMB1932		glyQ		2 out of 5	glycyl-tRNA aminoacylation [GO:0006426]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]	GO:0004820; GO:0005524; GO:0005737; GO:0006426	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426]	AE002098;	AAF42261;		NP_274926.1;WP_002218046.1;
Q9JZ36	FTSK1_NEIMB	reviewed	DNA translocase FtsK 1	ftsK1 NMB1314	Neisseria meningitidis serogroup B (strain MC58)	812	NMB1314		ftsK1		3 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; DNA binding [GO:0003677]	GO:0003677; GO:0005524; GO:0005886; GO:0007049; GO:0007059; GO:0016021; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]	AE002098;	AAF41689;		NP_274333.1;WP_002225165.1;
Q9JZ40	ISPG_NEIMB	reviewed	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG NMB1310	Neisseria meningitidis serogroup B (strain MC58)	421	NMB1310		ispG		3 out of 5	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]	GO:0005506; GO:0016114; GO:0019288; GO:0046429; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]; iron ion binding [GO:0005506]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	AE002098;	AAF41685;		NP_274329.1;WP_002227267.1;
Q9K187	LPTD_NEIMB	reviewed	LPS-assembly protein LptD	lptD imp ostA NMB0280	Neisseria meningitidis serogroup B (strain MC58)	802	NMB0280		lptD	imp ostA	2 out of 5	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide export [GO:0015921]; response to organic substance [GO:0010033]	cell outer membrane [GO:0009279]		GO:0009279; GO:0010033; GO:0015921; GO:0043165	cell outer membrane [GO:0009279]; Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide export [GO:0015921]; response to organic substance [GO:0010033]	AE002098;	AAF40734;		NP_273336.1;WP_002243965.1;
Q9JZR6	PIP_NEIMB	reviewed	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP)	pip NMB0927	Neisseria meningitidis serogroup B (strain MC58)	310	NMB0927		pip		2 out of 5		cytoplasm [GO:0005737]	aminopeptidase activity [GO:0004177]	GO:0004177; GO:0005737	cytoplasm [GO:0005737]; aminopeptidase activity [GO:0004177]	AE002098;	AAF41334;		NP_273966.1;WP_002225339.1;
Q9K0B0	RLUD_NEIMB	reviewed	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23) (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)	rluD NMB0704	Neisseria meningitidis serogroup B (strain MC58)	374	NMB0704		rluD		3 out of 5	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]		pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]	GO:0000455; GO:0003723; GO:0009982; GO:0120159	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	AE002098;	AAF41121;		NP_273746.1;WP_002247551.1;
P56927	SYQ_NEIMB	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS NMB1560	Neisseria meningitidis serogroup B (strain MC58)	562	NMB1560		glnS		3 out of 5	glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]	ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]	GO:0004819; GO:0005524; GO:0005829; GO:0006424; GO:0006425	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	AE002098;	AAF41914;		NP_274567.2;WP_002247565.1;
P67217	RIMP_NEIMB	reviewed	Ribosome maturation factor RimP	rimP NMB1641	Neisseria meningitidis serogroup B (strain MC58)	149	NMB1641		rimP		2 out of 5	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosol [GO:0005829]		GO:0000028; GO:0005829; GO:0006412	cytosol [GO:0005829]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	AE002098;	AAF41990;		NP_274646.1;
Q9JX94	MUTS_NEIMB	reviewed	DNA mismatch repair protein MutS	mutS NMB2160	Neisseria meningitidis serogroup B (strain MC58)	864	NMB2160		mutS		2 out of 5	mismatch repair [GO:0006298]	cytosol [GO:0005829]; mismatch repair complex [GO:0032300]	adenine/cytosine mispair binding [GO:0032136]; ATPase activity, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]	GO:0003684; GO:0005524; GO:0005829; GO:0006298; GO:0008094; GO:0032136; GO:0032300	cytosol [GO:0005829]; mismatch repair complex [GO:0032300]; adenine/cytosine mispair binding [GO:0032136]; ATP binding [GO:0005524]; ATPase activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; mismatch repair [GO:0006298]	AE002098;	AAF42468;		NP_275145.1;WP_002225746.1;
Q9JXE6	SYC_NEIMB	reviewed	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS NMB2083	Neisseria meningitidis serogroup B (strain MC58)	473	NMB2083		cysS		3 out of 5	cysteinyl-tRNA aminoacylation [GO:0006423]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]	GO:0004817; GO:0005524; GO:0005737; GO:0005829; GO:0006423; GO:0008270	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]	AE002098;	AAF42401;		NP_275072.1;WP_002225718.1;
Q7DD49	RL13_NEIMB	reviewed	50S ribosomal protein L13	rplM NMB2057	Neisseria meningitidis serogroup B (strain MC58)	143	NMB2057		rplM		2 out of 5	negative regulation of translation [GO:0017148]; translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]; ribosome [GO:0005840]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0017148; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; negative regulation of translation [GO:0017148]; translation [GO:0006412]	AE002098;	AAF42377;		NP_275047.1;WP_002215010.1;
Q7DDT0	RL18_NEIMB	reviewed	50S ribosomal protein L18	rplR NMB0158	Neisseria meningitidis serogroup B (strain MC58)	117	NMB0158		rplR		2 out of 5	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0008097; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF40616;		NP_273216.1;WP_002215441.1;
P66251	RL34_NEIMB	reviewed	50S ribosomal protein L34	rpmH NMB1904	Neisseria meningitidis serogroup B (strain MC58)	44	NMB1904		rpmH		2 out of 5	translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF42234;		NP_274898.1;WP_002214728.1;
P66614	RS7_NEIMB	reviewed	30S ribosomal protein S7	rpsG NMB0137	Neisseria meningitidis serogroup B (strain MC58)	156	NMB0137		rpsG		2 out of 5	ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]; ribosome [GO:0005840]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000028; GO:0000049; GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:0022627	cytosolic small ribosomal subunit [GO:0022627]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	AE002098;	AAF40596;		NP_273195.1;WP_002215391.1;
P66551	RS3_NEIMB	reviewed	30S ribosomal protein S3	rpsC NMB0148	Neisseria meningitidis serogroup B (strain MC58)	230	NMB0148		rpsC		2 out of 5	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003729; GO:0003735; GO:0006412; GO:0019843; GO:0022627	cytosolic small ribosomal subunit [GO:0022627]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF40606;		NP_273206.1;WP_002215427.1;
Q9K0J6	TATB_NEIMB	reviewed	Sec-independent protein translocase protein TatB	tatB NMB0600	Neisseria meningitidis serogroup B (strain MC58)	228	NMB0600		tatB		2 out of 5	protein transport by the Tat complex [GO:0043953]	integral component of plasma membrane [GO:0005887]; TAT protein transport complex [GO:0033281]	protein transmembrane transporter activity [GO:0008320]	GO:0005887; GO:0008320; GO:0033281; GO:0043953	integral component of plasma membrane [GO:0005887]; TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]	AE002098;	AAF41028;		NP_273644.1;WP_002222848.1;
Q9JXI0	THIC_NEIMB	reviewed	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC NMB2040	Neisseria meningitidis serogroup B (strain MC58)	633	NMB2040		thiC		3 out of 5	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	cytosol [GO:0005829]	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]	GO:0005829; GO:0008270; GO:0009228; GO:0009229; GO:0016830; GO:0051539	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	AE002098;	AAF42361;		NP_275031.1;WP_002244346.1;
Q9K1B0	NUOL_NEIMB	reviewed	NADH-quinone oxidoreductase subunit L (EC 7.1.1.-) (NADH dehydrogenase I subunit L) (NDH-1 subunit L)	nuoL NMB0257	Neisseria meningitidis serogroup B (strain MC58)	674	NMB0257		nuoL		3 out of 5	ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; quinone binding [GO:0048038]	GO:0003954; GO:0005886; GO:0008137; GO:0015990; GO:0016021; GO:0042773; GO:0048038	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	AE002098;	AAF40711;		NP_273313.1;WP_002221913.1;
Q9K012	PURA_NEIMB	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA NMB0815	Neisseria meningitidis serogroup B (strain MC58)	432	NMB0815		purA		4 out of 5	'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	cytoplasm [GO:0005737]	adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208; GO:0046040	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]	AE002098;	AAF41228;		NP_273857.1;WP_002222698.1;
P60654	SPEB_NEIMB	reviewed	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	speB NMB0469	Neisseria meningitidis serogroup B (strain MC58)	307	NMB0469		speB		2 out of 5	putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]; spermidine biosynthetic process [GO:0008295]		agmatinase activity [GO:0008783]; manganese ion binding [GO:0030145]	GO:0008295; GO:0008783; GO:0030145; GO:0033389	agmatinase activity [GO:0008783]; manganese ion binding [GO:0030145]; putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]; spermidine biosynthetic process [GO:0008295]	AE002098;	AAF40906;		NP_273516.1;WP_002222073.1;
Q9JZ92	RECR_NEIMB	reviewed	Recombination protein RecR	recR NMB1237	Neisseria meningitidis serogroup B (strain MC58)	206	NMB1237		recR		2 out of 5	DNA recombination [GO:0006310]; DNA repair [GO:0006281]		DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0006281; GO:0006310; GO:0046872	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	AE002098;	AAF41618;		NP_274261.1;
Q9JZW3	RL25_NEIMB	reviewed	50S ribosomal protein L25 (General stress protein CTC)	rplY ctc NMB0876	Neisseria meningitidis serogroup B (strain MC58)	190	NMB0876		rplY	ctc	2 out of 5	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0008097; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	AE002098;	AAF41287;		NP_273917.1;WP_002213865.1;
Q9K1Q0	SYM_NEIMB	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG NMB0030	Neisseria meningitidis serogroup B (strain MC58)	685	NMB0030		metG		3 out of 5	methionyl-tRNA aminoacylation [GO:0006431]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]	GO:0000049; GO:0004825; GO:0005524; GO:0005737; GO:0006431; GO:0046872	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]	AE002098;	AAF40501;		NP_273096.1;WP_002225763.1;
